Wavelength (nm),Reflection (%),IQE (%),EQE (%)
300,0.25615835048184277,0.92894453472767,0.6909876350227072
310,0.2642993839074248,0.9289559163355581,0.6834334399709128
320,0.25929042116538903,0.9289672137725145,0.6880949136646012
330,0.2565963119820538,0.9289800685419792,0.6906072090492719
340,0.2525072584505408,0.9289917429537314,0.6944145848172952
350,0.2507906177063308,0.9289988118397405,0.6960146259700046
360,0.26377689771608903,0.929002711574045,0.6839532583452088
370,0.2879784499128164,0.9291133101157941,0.6615486992752818
380,0.25780492442843117,0.9301419129885965,0.690346747402855
390,0.21534719477258113,0.93402773299515,0.732887480854851
400,0.181994443763269,0.9387094147287657,0.7678695169398602
410,0.15733932327940092,0.9428377625750275,0.7944923070492081
420,0.13808100175430704,0.9468919985478368,0.8161442028352136
430,0.12272823817945133,0.9504656620986728,0.833816685939237
440,0.11063178364068182,0.9535461812796633,0.8480536664609332
450,0.1010189868985184,0.9560901617478393,0.859506902224432
460,0.0935792287911349,0.9583393317977236,0.8686586762078811
470,0.08791937435146335,0.96013405077736,0.8757196657394783
480,0.08369562300340672,0.9617940324552884,0.8812960817079842
490,0.08059994602698584,0.963410927452733,0.8857600586982344
500,0.07840469998084143,0.9649826638962917,0.8893234876467898
510,0.07685723645096709,0.9666701144798222,0.8923745209211631
520,0.075806833648841,0.9678878525401083,0.8945153391118664
530,0.075120640767119,0.969289505863495,0.8964758570941852
540,0.07468852595679676,0.9705696563268286,0.8980792393573829
550,0.07443083317776433,0.9716955548631534,0.8993714451195589
560,0.07428646043105158,0.9727869080469606,0.900522011894485
570,0.07421185929208018,0.9736385246302373,0.9013829994390296
580,0.074177285297788,0.974467674653086,0.902184307936872
590,0.07416332040901019,0.9752026533008438,0.9028783864603764
600,0.07415871372138216,0.9757946101195412,0.9034309369768184
610,0.07415810170977133,0.97647518116421,0.904061635362367
620,0.07416029411557934,0.9769617620446568,0.9045099904317504
630,0.07416686988544408,0.9773552623787759,0.9048678818020752
640,0.07418112181494152,0.9777219319010744,0.9051934221695808
650,0.07420724242242471,0.9780235139678215,0.9054470859719796
660,0.0742497348278297,0.978237720916212,0.9056038295396027
670,0.0743130039358253,0.9783535874160045,0.9056491934237302
680,0.07440097892750919,0.9783970979665929,0.9056033960980443
690,0.07451716620866955,0.9783531540490648,0.9054490494580145
700,0.07466470072724851,0.9782243955294726,0.9051855637931709
710,0.0748450441266788,0.9780638480028218,0.9048606161403413
720,0.0750606714657529,0.9778530763640707,0.9044547678573314
730,0.07531178380138681,0.9774383867517781,0.9038257582895518
740,0.07559936818136881,0.9769393756394579,0.903083376089614
750,0.07592253939603544,0.9763314553829749,0.9022058919980724
760,0.07628180967640474,0.9754546565798254,0.9010452101186405
770,0.07667512029899026,0.9746076501056357,0.8998794912894699
780,0.07710291623202092,0.973805950923604,0.8987226722632979
790,0.07756212402712404,0.9723508164953074,0.8969332218684231
800,0.07805081869146191,0.9709414731590762,0.8951586962775162
810,0.0785699739395419,0.9692629048346761,0.8931079436612509
820,0.07911516034782029,0.9673876857239723,0.8908526538494134
830,0.079684176293086,0.965367505932997,0.8884429914026154
840,0.0802747834896026,0.9630405446042806,0.8857326733944629
850,0.08088957099866856,0.9602415994627191,0.8825680684271044
860,0.08152245721806028,0.9568457395156551,0.8788413236517069
870,0.0821771346751653,0.9531905077319179,0.874860043006943
880,0.08284036670016282,0.9486806065697092,0.8700915572401416
890,0.08352234411354864,0.9440641704879948,0.8652137179752247
900,0.08421533388578994,0.9384117422966984,0.8593830840968361
910,0.08491755959767067,0.9328811197112997,0.8536631316306736
920,0.08562756611736821,0.9264205056821865,0.8470933725793993
930,0.08635428001459955,0.9183631517122154,0.8390585629541686
940,0.08708257509878403,0.9098232670867259,0.830593514104025
950,0.08784956135693711,0.8983089908022326,0.8193929399972636
960,0.08868088736987723,0.885838232312593,0.8072813118049488
970,0.08969469027001764,0.8698650675219426,0.791842789713854
980,0.09102125172578457,0.852474701137827,0.7748813867756978
990,0.09317970382228002,0.82893249696871,0.7516928124125025
1000,0.09678465241800382,0.8002344212778701,0.7227840109615691
1010,0.1025644842722987,0.7660446368130727,0.6874756637087795
1020,0.11152253483763974,0.7246154481373026,0.6438044965785183
1030,0.12466518538014237,0.6736242245974553,0.5896467357614589
1040,0.14102675462061942,0.6163606614155468,0.5294373176602938
1050,0.16122492136545985,0.547929630908893,0.4595897192518013
1060,0.1852820758631898,0.46470043103138364,0.3785997705153698
1070,0.2048752033870168,0.3940815886088146,0.31334404299150503
1080,0.2190726656958647,0.3411085249705499,0.2663809711136671
1090,0.23302697733385636,0.2869006268779007,0.22004504100135494
1100,0.24600602958292261,0.23450156003792139,0.176812762321991
1110,0.25594612308865405,0.1936433303427431,0.14408107067954246
1120,0.2655588390331345,0.15301387342753994,0.11237968684415944
1130,0.2732122908078557,0.12046394048277627,0.08755171134373578
1140,0.2814106983271092,0.08457696077831865,0.06077609918330747
1150,0.2872058748564278,0.05954906206010647,0.042446221594253875
1160,0.2922305723682075,0.037874587430431574,0.026806475067426838
1170,0.2963572371422232,0.020305330262995084,0.01428769868699349
1180,0.2997581759541853,0.006110898426154255,0.004279106660488954
1190,0.3008086441986523,0.0033963340116431764,0.002374687382355023
1200,0.3015678703117223,0.0020790486927206625,0.001452074406182522
